Position,Long Description,Company Name,Exp Years,Primary Keyword,English Level,Published,Long Description_lang,id,index_level_0,Reference_Summary
Middle QA Manual Engineer,Our teams are composed of Project Manager UI/UX designer Systems Architect Software Engineers DevOps and Quality Engineers. Engineering team is based in the US and Eastern Europe. We work in sprints Requirements testing performed by QA team before each sprint - testing attributes are prepared checklists testing data test cases - completed task verification and testing Backend first testing approach on qa environment - test report prepared and shared - tested sprint tasks uploaded to staging environment - tasks verification on staging environment - analyzing client feedback after user acceptance testing . You are expected to Review documentation and analyse requirements. Plan and estimate testing activities. Design test plans scenarios scripts and procedures. Report and document technical issues report bugs and errors to development teams. Create test cases. Perform manual Functional Regression Exploratory and Scalability testing Web Mobile . Conduct post-release/ post-implementation testing. Monitor applications and software systems. Present findings to software development and business user teams. Effectively collaborate with team members to achieve the best results. You need to have hands-on experience and good understanding of 2+ years industry experience in QA or Software Engineering. Testing processes methodologies and standards. Testing Web and Mobile Applications. Cross-browser cross-device testing. Software release procedures and defect tracking test planning and execution. Relational and no-SQL databases. MySQL PostgreSQL MongoDB. Postman and Swagger. Upper-Intermediate level of English or higher. Hiring process We value your time and ours and make the process fast and easy. Interview with HR hiring manager and QA Engineer small test challenge optional Interview with CTO Offer. Compensation Up to 3000 annual salary review. We have been a 100 remote company since 2012. Strong positive engineering culture tightly knit team of professionals with a good sense of humor. You will become a better QA. Guaranteed. Flexible working hours you can choose when you can start working 9 AM Good. 1 PM That s ok for us. Paid Time Off 15 days off per year during the first 3 years further increasing to 20 days in later years + 10 National Holidays. Other benefits you will have Hardware upon business needs. Unlimited access to the courses on the pluralsight.com assistance in obtaining certifications. Library of books. If you are still here please find examples of projects you could and should join We re building a SaaS business for a construction company from Boston helping to comply with safety regulations at the construction sites. The goal is to reduce injuries at work caused by operating large and dangerous construction equipment bulldozers graders etc. The product includes a native mobile application for iOS and Android as well as the Web App for the back office. A Medical start-up from Boston spent the last 5 years developing a new kind of breathing and heart rate sensors that do not need to be worn on the body. NineTwoThree is building an IoT platform that collects data from sensors calculates the baseline and sends notifications to medical personnel and relatives if indicators get out of norm. Our own 7th startup. a virtual event platform that focuses on interactivity to keep participants interested and engaged. Challenges are Streaming video conferencing group discussions one-on-one sessions watch parties polls announcement chats and more.,NineTwoThree Digital Ventures,2y,QA,upper,2022-01-01T00:00:00+02:00,en,9fdce2e7-0cdd-50aa-a96b-4925724eebc3,103696,"Role Overview:
The Middle QA Manual Engineer will review documentation, analyze requirements, design test plans, report bugs, and perform manual functional, regression, exploratory,

Key Responsibilities:
You will review documentation, analyze requirements, and plan and estimate testing activities while designing test plans, scenarios, scripts, and procedures. Respons

Required Skills:
- 2+ years industry experience in QA or Software Engineering.
- Good understanding of testing processes, methodologies, and standards.

Tools and Technologies:
Web, Mobile (iOS, Android), Relational and no-SQL databases (MySQL, PostgreSQL, MongoDB), Postman, and

Experience Level:
Middle QA Manual Engineer
2+ years industry experience in QA or Software Engineering"
Manual QA Engineer,Вінниця We are looking for a Middle QA Engineer to join our team on a full-time basis. Must have 3+ years of software testing experience SDLS Strong knowledge of testing proses and understanding Agile methodologies Scrum Kanban etc /Waterfall/Combinative Hard skills The strong theoretical knowledge base in software testing Requirements analysis Test planning and test cases design Test execution on web mobile Bug tracking/reporting smoke/sanity design UI/UX functional regression cross-browser desktop/mobile/tablet cross-platform IOS Android stress testing Documentation Test cases test scenarios test plan test checklists Tools Jira Trello Fiddler Postman Jmeter Genymotion or similar Soft Skills Good communication skills self-management skills English Upper-Intermediate writing and speaking B2 Working conditions A spacious open space an office in the center of Vinnitsa Paid leave and sick days Lack of rigid bureaucracy transparency of processes and openness of leadership Flexible schedule Free English lessons Career growth is possible Corporate benefits Work in an atmosphere of the culture of freedom and responsibility Are you ready for new opportunities Join our team right now,Covent IT,3y,QA,upper,2023-01-01T00:00:00+02:00,en,03482579-ef9a-51f9-927b-c1d62cbbc269,92133,"Role Overview:
We are looking for a Middle QA Engineer with 3+ years of software testing experience to join our team in Vinnitsa

Key Responsibilities:
The Middle QA Engineer is responsible for requirements analysis, test planning, and the design of test cases, scenarios, and checklists. You will perform test execution across web, mobile, and desktop platforms, including UI/UX, functional, regression, cross-browser, and stress testing. Duties include bug tracking and reporting using tools such as Jira, Trello, Fiddler, Postman, and Jmeter within Agile or Waterfall methodologies

Required Skills:
3+ years of software testing experience
Strong knowledge of testing processes
Understanding of Agile methodologies (Scrum, Kanban, etc.), Waterfall, and Combinative models
Strong theoretical knowledge base in software testing
Requirements analysis
Test planning and test cases design
Test execution on web and mobile
Bug tracking and reporting
Experience with smoke, sanity, UI/UX, functional, regression, cross-browser, desktop/mobile/tablet, cross-platform (iOS, Android), and stress testing
Documentation skills: Test cases, test scenarios, test plan, test checklists
Proficiency with tools: Jira, Trello, Fiddler, Post

Tools and Technologies:
Jira, Trello, Fiddler, Postman, Jmeter, Genymotion, Web, Mobile, Desktop, Tablet, iOS, Android.

Experience Level:
Middle QA Engineer, 3+ years of software testing experience"
Java Technical Lead,The Project The new POD of 5 Java engineers we are building at the moment will join an already existing team of 15 people that are currently working from Israel. The project is already ongoing and the new team will join them to help with new ideas and adding new features to work on developing it into a bigger and central area. Basically few major projects they want to do to make it happen. The team will be exposed to high complexity and great traffic of users. This project is not for internal usage of the Client but the main goal is to create these new platforms focusing on driving things for the users of this e-commerce platform. It is project e-commerce and SEO related. The Team This is an independent team so the Client is looking for developers with a solid background working with end-to-end development with a great big picture of the whole process once they re going to be part not only of the day to day development path but will also be responsible to test the quality for the project by themselves. The Client really values the knowledge of Java algorithms and a person that knows how to deal with different logic approaches to solving issues and bugs. The ideal candidate will have strong hands-on core Java and Java Web programming skills excellent problem solving and design skills and the ability to work collaboratively within different teams. The candidate should also demonstrate a history of on-time delivery excellent communication and a positive get-it-done attitude. Experience working in Agile-driven development projects is a plus. The Tech Stack Java versions from 8 beyond Microservices Algorithms Spring frameworks specially Springboot JUnit JBehave Mockito Test containers etc Requirements. 6+ years of Java experience while 1+ years of tech/team leadership experience. Experience with the latest version of Java. Experience with Spring framework. Experience with OO design and design patterns. Experience in building Restful services. Good understanding of using various database systems NoSQL and relational at scale. Drive architecture discussions produce well-documented design docs and participate in design and code reviews. Partner effectively and influence peers juniors and seniors both within the organization. Flexibility and passion to learn new domains. Experience in working with agile development methodologies and scrum master role Benefits. Flexible working hours. You can work remotely from the office or mix both. Separate room for every team and spacious technically equipped workplace. Close to park location. Regular Performance Appraisal. Free English courses. Corporate doctor. Access to online courses. Corporate events and so on,Proffiz,5y,Java,upper,2022-02-01T00:00:00+02:00,en,76d9b04d-4364-50c9-a5cd-4d7d2936e436,79457,"Role Overview:
The Java Technical Lead will lead a new team of five engineers to develop high-traffic e-commerce and SEO platforms, focusing on

Key Responsibilities:
The Java Technical Lead will perform end-to-end development to add new features and expand an e-commerce and SEO-related platform. Responsibilities include testing project quality, solving complex issues and bugs using Java algorithms, and building Restful services. The role involves driving architecture discussions, producing design documentation, and participating in design and code reviews while influencing peers and juniors. Additionally, the candidate will work collaboratively across teams in an agile environment to ensure on-time delivery.

Required Skills:
- 6+ years of Java experience
- 1+ years of tech/team leadership experience
- Experience

Tools and Technologies:
Java (versions 8 and beyond), Microservices, Algorithms, Spring frameworks, Spring Boot, JUnit, JBehave, Mockito, Test containers, RESTful services, NoSQL database systems, Relational database systems, Agile development methodologies, Scrum.

Experience Level:
6+ years of Java experience while 1+ years of tech/team leadership experience."
HR manager (Just Warsaw),Requirements . At least 3 years of experience in a HR management role Strong knowledge of HR policies procedures and employment laws and regulations . Excellent communication interpersonal and leadership skills . Proven ability to manage and prioritize multiple projects and deadlines . Experience in recruitment performance management employee relations and compensation and benefits administration . Ability to maintain confidentiality and handle sensitive information with tact and professionalism. Responsibilities . Develop and implement HR strategies and initiatives aligned with the overall business strategy . Manage the recruitment and selection process including HR-interviews and making job offers . Provide guidance and support to managers and employees on HR policies and procedures . Oversee the performance management process including goal setting performance reviews and employee development plans . Manage employee relations issues including conflict resolution . Administer compensation and benefits programs including payroll processing and employee benefits enrolment . Provide support for employee training and development initiatives . Participate in HR-related projects and initiatives as needed.,IT Web Studio,3y,HR,intermediate,2023-04-01T00:00:00+03:00,en,14f20381-ef38-53fd-8869-8ca7a1bc0f02,71203,"Role Overview:
The HR manager in Warsaw will develop HR strategies, manage recruitment and selection, oversee performance management, and handle employee relations and compensation administration.

Key Responsibilities:
The HR Manager develops and implements HR strategies aligned with business goals while providing guidance to staff on policies and procedures. This role manages the full recruitment and selection process and oversees performance management, including goal setting and employee development plans. Responsibilities also include handling employee relations and conflict resolution, as well as administering compensation, benefits, and payroll processing. Additionally, the manager supports training initiatives and participates in various HR-related projects as needed.

Required Skills:
- At least 3 years of experience in a HR management role
- Strong knowledge of HR policies, procedures, and employment laws and

Tools and Technologies:
There are no tools or technologies explicitly mentioned in the provided job description.

Experience Level:
At least 3 years of experience in a HR management role"
Unreal Engine 3D developer,We are Zibra AI. a young startup whose mission is to unleash the potential of a modern game engine and bring a new level of physics performance and realism for all game developers. We have already developed and shipped Zibra Liquids plugin in Unity asset store which enables new level of fluid realtime simulation and we work on a set of new technologies which will accelerate and improve rendering in Unreal Engine. We need a skilled and motivated team member who wants to help us create the first ever ML driven render pipeline in Unreal Engine. Our core technology can boost many engine stages like SSAO Shadows Global Illumination and many others. If you are interested in creating new approaches in 3D. you are welcome. Requirements . 2+ years of experience with Unreal Engine . 2+ years of experience C++ . Deep knowledge in graphics pipeline . Strong understanding of modern graphics techniques . Knowledge of shader languages HLSL/GLSL . Experience in the development of game for any platform . Experience with mobile is a plus. Responsibilities . Research new approaches for lighting techniques like Global Illumination SSAO Shadows etc. Port these features on mobile using Neural Processing Units.,ZibraAI,2y,Unity,intermediate,2021-11-01T00:00:00+02:00,en,0dc4dd91-4b95-5cdb-b269-c390fcd70012,166913,"Role Overview:
Zibra AI is seeking an Unreal Engine 3D developer to help create the first ever ML driven render pipeline in

Key Responsibilities:
You will help create the first ML-driven render pipeline in Unreal Engine. Your duties include researching new approaches for lighting techniques such as Global Illumination, SSAO, and shadows. Additionally, you will port these features to mobile platforms using Neural Processing Units.

Required Skills:
- 2+ years of experience with Unreal Engine
- 2+ years of experience C++
- Deep knowledge in graphics pipeline

Tools and Technologies:
Unreal Engine, Unity, C++, HLSL, GLSL, ML, Neural Processing Units, Mobile.

Experience Level:
2+ years of experience with Unreal Engine and C++"
Salesforce Developer,Senior Salesforce developer Remote full time Requirements 4+ years experience in Salesforce development Experience with LWC SFDX Apex Flows Security Sharing Model Experience with Manage package 2 g Experience with Integrations Git Responsibilities . Development of new and improvement of existing functionality for Salesforce. Design of new modules of existing systems according to SOLID principles . Using SFDX on a daily basis. Our advantages . Remote work and flexible schedule. Team of experienced developers and loyal management. Modern technology stack and lack of bureaucracy. High income and salary review. Paid vacation and sick days,TrendSpider,5y,Salesforce,intermediate,2023-07-01T00:00:00+03:00,en,546f2cc6-ce2d-55c4-9ee0-b4e792dabd25,130103,"Role Overview:
This full-time, remote Senior Salesforce Developer position involves developing and improving Salesforce functionality and designing new modules according to SOLID principles using

Key Responsibilities:
Develop new functionality and improve existing features within the Salesforce platform. Design new modules for existing systems while adhering to SOLID principles. Utilize SFDX on a daily basis as part of the development workflow.

Required Skills:
- 4+ years experience in Salesforce development
- Experience with LWC, SFDX, Apex, and Flows

Tools and Technologies:
Salesforce, LWC, SFDX, Apex, Flows, Security Sharing Model, Manage package 2 g, Integrations,

Experience Level:
Senior, 4+ years experience in Salesforce development"
HR Event Specialist,Project Overview Our mission is to create a unique employee experience and support effective internal communication by organizing memorable events for Intellias talents. In this role you will be responsible for generating creative concepts and organizing a wide variety of internal events that support corporate communication strategy and contribute to the strengthening of Intellias core values. We are expecting you to be very well-organized and competent in building lasting relationships with vendors. Strong communication skills good time management and attention to detail are a must. Responsibilities . Plan and organize corporate events parties get-togethers quests challenges team buildings . Vendors and contractors relationships management . Support and hold internal online events seminars webinars etc. Plan and manage an annual budget adjust forecasts . Evaluate and track the success of events Requirements . Experience in organizing events of different types for 500+ participants parties / corporate events / festivals / competitions / tournaments from conception to fulfillment . Track records in various online events using different concepts and platforms will be an advantage . Experience with communication part of events management using digital tools and platforms will be an advantage . Budgeting skills . Communication skills . A knack for problem-solving . Network in show business . Ability to work on different tasks simultaneously . High level of attention to detail . Upper-Intermediate level of English . Higher Education at least Bachelor s Degree,Intellias,2y,HR,upper,2022-07-01T00:00:00+03:00,en,fa99b65c-6e5f-5874-8ecb-8cc661090440,70687,"Role Overview:
The HR Event Specialist is responsible for generating creative concepts and organizing a wide variety of internal events that support corporate communication strategy and contribute to the strengthening

Key Responsibilities:
You will generate creative concepts and organize various internal events, including parties, team buildings, and online seminars, to support corporate communication strategy and core

Required Skills:
- Experience in organizing events of different types for 500+ participants (parties, corporate events, festivals,

Tools and Technologies:
Digital tools
Platforms

Experience Level:
Not explicitly stated."
MS SQL DBA,Requirements . Must have 2+ years of experience as MS SQL Server DBA. Strong capabilities for tuning queries stored procedures and functions. Ability to work with developers to build optimal database structure. Develop processes for optimizing database security. Manage database access. Performance tuning of database systems. Diagnose and troubleshoot database errors. Create automation for repeating database tasks. Development of new system functionality and introduction of changes to existing functionality. Experience designing building installing configuring supporting and maintaining high-volume large database systems Responsibilities . Involving in all development deployment phases including designing schemas and supporting developers in database-related code e.g. SQL and DB logic process flows . Modifying the database structure as necessary based on the regular analysis. Monitoring and optimizing the performance of databases. Planning for backup and recovery of database information. Managing and monitoring data replication What it for you . Office near subway station Palats Ukraina . Long-term employment. Competitive salary. Flexible office schedule. Professional growth. Medical insurance. Team buildings and corporate events,MCG,2y,SQL,,2021-02-01T00:00:00+02:00,en,fa940248-ac7c-5d92-a316-0951833269be,111102,"Role Overview:
The MS SQL DBA will design, build, install, configure, support, and maintain high-volume large database systems while collaborating with developers on

Key Responsibilities:
The MS SQL DBA is responsible for all development and deployment phases, including designing schemas, supporting developers with database-related code

Required Skills:
* 2+ years of experience as MS SQL Server DBA
* Strong capabilities for tuning queries, stored procedures,

Tools and Technologies:
MS SQL Server, SQL, stored procedures, functions, data replication

Experience Level:
2+ years of experience as MS SQL Server DBA."
Java developer,We are looking for Middle Java developer for automotive premium brand. System based upon Java 17 microservices Spring with libraries and Azure. Requirements -Java Spring microservices Azure knowledge would be nice to have -3 years of commercial experience -Upper-Intermediate English.,Incode Group,2y,Java,upper,2022-02-01T00:00:00+02:00,en,c9b2547a-5d87-5b26-9476-80116ff88eaa,76624,"Role Overview:
Check:*
    - One sentence? Yes.
    - No header? Yes.
    - No extra

Key Responsibilities:
You will serve as a Middle Java developer for an automotive premium brand, working on a system based on Java 17

Required Skills:
- Java 17
- Spring
- Microservices
- Azure (nice to have)
- 3 years of commercial experience
- Upper-Intermediate English

Tools and Technologies:
Java 17, microservices, Spring, Azure

Experience Level:
Middle
3 years of commercial experience"
Middle Front-end Developer Vue.JS,Requirements Your daily adventures as a Front-end Developer will be . Implementing front-end strategy by providing code that is executed in a browser. Development of new components and improvement of existing ones. You are best for us if you have . 2+ years of commercial development. Experience in building different Front-end web applications. Experience with modern JavaScript frameworks preferably Vue.js . Proficiency in TypeScript HTML5 CSS SASS/LESS and responsive/adaptive web design. Proficient understanding of cross-browser compatibility issues and ways to work around them. Understanding and experience on how to scale your code effectively. Experience working with component libraries. Taking ownership of tasks and take them to completion. Desire to grow professionally and help your peers do the same. Interest in solving user problems in collaboration with the design team. Good level of English both written and verbal . Russian B1 at least Will be a plus . Knowledge of PHP.,Indigo Tech recruitment,2y,JavaScript,intermediate,2022-03-01T00:00:00+02:00,en,e123908b-3127-59d3-a4fc-1f2d212066f1,96941,"Role Overview:
The Middle Front-end Developer Vue.JS will implement front-end strategy by providing code executed in a browser, developing and improving components, and building various

Key Responsibilities:
You will implement front-end strategy by providing code executed in a browser and developing or improving components. You are responsible for taking ownership of tasks through to completion and collaborating with the design team to solve user problems. Additionally, you will focus on professional growth and assist peers in their development.

Required Skills:
- 2+ years of commercial development
- Experience in building different Front-end web applications
- Experience with modern

Tools and Technologies:
* JavaScript
* Vue.js
* TypeScript
* HTML5
* CSS
* SASS
* LESS
* Component libraries
* PHP

Experience Level:
Middle, 2+ years of commercial development."
HR BP Lead,Requirements . Minimum 3 years at HR Advisors level. Business acumen of HR industry trends understanding of IT business peculiarities. Proven ability to facilitate persuade influence and build credibility with all levels. Change Agent expert. Strong Leadership and Communication skills. Consultancy skills specifically analysis and providing solutions. Ability to prioritize and effectively manage between day-to-day requests and proactively driving strategic people issues. Can develop ad hoc interventions and engage decision making stakeholders behind required actions. Advanced English both written and spoken. Responsibilities . Own the partnership between Senior Business Leaders and the HR BP function to develop integrated solutions deliver value-added service. Lead a Team of HR Business Partners - Analyze trends and HR metrics in partnership with the business to develop solutions programs and policies which cover business needs. Consult the Senior Business Leaders on strategic and operational people management issues. Create from scratch improve and interpret human resources policies to company management. Manage and resolve complex employee relations issues. Provide guidance on delivery unit restructure workforce planning and succession planning. Drive and contribute to Global HR Projects and Initiatives. Build trustful and cooperative relationships with all internal functions What We Offer Exciting Projects Come take your place at the forefront of digital transformation With clients across all industries and sectors we offer an opportunity to participate in creating market-defining products using the latest technologies. Collaborative Environment Expand your skills by collaborating with a diverse team of highly talented people in an open laidback environment or even abroad in one of our global centers or client facilities Work-Life Balance GlobalLogic prioritizes work-life balance which is why we offer flexible opportunities and options. Professional Development Our dedicated Learning Development team regularly organizes certification and technical / soft skill training to help you realize your professional goals. Excellent Benefits We provide our consultants with competitive compensation and benefits Fun Perks We want you to love where you work which is why we host sports classes cultural social and team building activities such as sports competitions and end-of-year corporate parties. Our vibrant offices also include dedicated GL Zones and rooftop decks where you can drink coffee or tea with your colleagues over a game of table football or darts About GlobalLogic GlobalLogic is a full-lifecycle product development services leader that combines chip-to-cloud software engineering expertise and vertical industry experience to help our customers design build and deliver their next-generation products and digital experiences. We expertly integrate design complex engineering and agile delivery capabilities to deliver superior business outcomes for global brands in telecom automotive healthcare technology media and entertainment manufacturing and semiconductor industries. Headquartered in Silicon Valley GlobalLogic unites over 18 000 designers and engineers across the globe. Analysts like NASSCOM and Zinnov have recognized us for being a top company in our field and we are consistently nominated as a preferred company by both global HR consulting firms and local boards. By creating an environment that is exciting and flexible and by fostering growth through ongoing learning and development programs we empower our consultants to achieve both their professional and personal goals. At GlobalLogic we make amazing products and careers.,GlobalLogic,3y,HR,fluent,2022-01-01T00:00:00+02:00,en,8e0657fb-53d7-5574-8c07-02c4acf2275a,70519,"Role Overview:
The HR BP Lead leads a team of HR Business Partners and partners with Senior Business Leaders to develop integrated solutions, deliver value

Key Responsibilities:
The HR BP Lead will lead a team of HR Business Partners and partner with Senior Business Leaders to develop integrated solutions, deliver value-

Required Skills:
- Minimum 3 years at HR Advisors level
- Business acumen of HR industry trends
- Understanding of IT business peculiarities

Tools and Technologies:
English

Experience Level:
Minimum 3 years at HR Advisors level."
Middle Java Developer,Requirements 2+ years of experience as Java Developer working on Web-based Java solutions Experience as Java Dev in Web-based Java solutions would be a big plus. Hands-on web development experience Technologies Java 8 Spring Boot Web Flux Cloud Netflix Feign Microservice Architecture Hibernate JPA Maven Postgres Cassandra Redis Spark core SQL Would be a plus Familiarity with Agile frameworks Docker knowledge Experience with AWS Azure Responsibilities Suggest the ideas for the system s architectural design Work with the system s technology stack Evaluate and introduce the best fit technologies Maintain a high level of external and internal product quality through architectural solutions.,Softkit,2y,Java,upper,2021-06-01T00:00:00+03:00,en,a9a89f86-1cd6-5796-a12c-f27f5586768c,98721,"Role Overview:
The Middle Java Developer will work on web-based Java solutions, suggest architectural designs, and maintain product quality using technologies including Java 8

Key Responsibilities:
The Middle Java Developer will suggest ideas for the system's architectural design and work directly with the system's technology stack. The role involves evaluating and introducing the best fit technologies for the project. Additionally, the developer is responsible for maintaining a high level of external and internal product quality through architectural solutions.

Required Skills:
- 2+ years of experience as a Java Developer working on Web-based Java solutions
- Hands-on web development experience
-

Tools and Technologies:
Java 8, Spring Boot, Web Flux, Cloud, Netflix Feign, Microservice Architecture, Hibernate, JPA, Maven, Postgres, Cassandra, Redis, Spark core, SQL, Agile frameworks, Docker, AWS, Azure.

Experience Level:
2+ years of experience as Java Developer working on Web-based Java solutions"
Business/Corporate Senior Talent Acquisition Specialist,Job Description We are looking for an ambitious Senior Talent Acquisition Specialist with whom we can build the most impressive staffing process. Are you a self-starter Apply for a vacancy and let s get to know each other better We expect our successful candidate to Manage full cycle hiring process search select and headhunt suitable candidates in accordance with the Job Description and Recruitment process . You will work on 6-8 vacancies per month Create a competitive pipeline of highly qualified professionals for current and future staffing needs using active recruitment methods Source passive and active candidates via various sources in globe Create/update attractive job descriptions together with hiring managers Work with recruitment tools Jira etc In this role you will work on Business/Corporate vacancies in the globe and in specific locations in Europe. You will also be responsible for implementing best-of-the best practices and ideas that are directed to hiring the best candidates. Qualifications 3+ years of full-cycle recruiting International experience Strong interpersonal and consultative skills Ability to work in a team as well as independently Advanced user of recruiting technologies Google X-Ray search Linkedin etc Strong presentation and communication skills ability to conduct negotiations with customers Ready for quickly changing environment Can assess a candidate s fit for a role and sell them on the opportunity and knows the importance of learning the candidate s motivations and craft a dialogue that leads to a yes decision Upper-Intermediate+ English Will be a plus iGambling experience What we propose Ample space for the implementation of your ideas and offbeat solutions Challenging tasks in the international professional environment Opportunities for professional growth Flexible schedule 24 paid vacation days 4 days off national holidays and vacation days Ability to work remotely,PIN-UP.TECH,3y,Recruiter,,2022-11-01T00:00:00+02:00,en,12ba88b7-36cf-5da1-aad1-3ec85ed7c5d7,39832,"Role Overview:
The Senior Talent Acquisition Specialist will manage the full-cycle hiring process for 6-8 Business and Corporate vacancies per month

Key Responsibilities:
You will manage the full-cycle hiring process for 6-8 Business/Corporate vacancies per month, including searching, selecting, and headhunting candidates globally and in specific European locations. Your duties include sourcing passive and active candidates through various methods to build a competitive pipeline of highly qualified professionals for current and future needs. You will collaborate with hiring managers to create or update job descriptions, utilize recruitment tools like Jira, and implement best practices to attract top talent. Additionally, you will assess candidate fit, identify their motivations, and conduct negotiations to secure successful hires.

Required Skills:
* 3+ years of full-cycle recruiting experience.
* International recruiting experience.
* Proficiency in managing the full cycle hiring

Tools and Technologies:
Jira, Google X-Ray search, Linkedin

Experience Level:
3+ years of full-cycle recruiting
International experience
iGambling experience (plus)"
DevOps,Project the platform is simplifying the investment research process and allows investment managers to be more productive. Your key responsibilities . Perform releases across client clusters in Kubernetes using helm. Create graphs with time series metrics collected from application and system monitoring tools. Supporting Customer Success Team with resolving impacting issues and bug tickets. Documenting and automating the ongoing resolution steps in runbooks. Create automation scripts for infrastructure deployments using terraform/bash/sql/powershell . Assist Principal Systems Engineer with SecOps related duties. Requirements . 3+ years of experience as a site reliability engineer architect or equivalent professional roles . Experience with Docker and cluster management in Kubernetes or Docker-swarm . Strong practical Linux and Windows-based systems administration skills in a Cloud or Virtualized environment . Experience building complex Helm charts for Kubernetes . Experience with PostgreSQL and Microsoft SQL Server . Extensive and current experience with AWS or Azure Cloud services EC2 Elastic Beanstalk RDS CloudWatch . Experience building sophisticated and highly automated infrastructure for distributed processing systems . Experience with seamless/automated build scripts used to release management across all environments . Experience with building Dockerfiles for web and api applications Nice to have . Extensive experience building graphs and defining time-series metrics using Prometheus and Grafana . Experience capturing logs with Loki or Logstash and converting the tagged metrics to graphs . Extensive knowledge of network topology. Extra points for Traefik mesh networks Additional requirements . Upper-Intermediate English To apply contact me in Telegram Valeriia_CheIT,Che IT Group,3y,DevOps,upper,2021-07-01T00:00:00+03:00,en,c25d70fa-3ed2-5172-bc1a-deb96b7e4665,50842,"Role Overview:
The DevOps engineer will simplify the investment research process by performing Kubernetes releases, creating monitoring metrics, automating infrastructure deployments, and supporting the

Key Responsibilities:
Perform releases across client clusters in Kubernetes using Helm and create graphs with time series metrics from application and system monitoring tools. Support the Customer Success Team by resolving impacting issues and bug tickets while documenting and automating resolution steps in runbooks. Create automation scripts for infrastructure deployments using terraform, bash, sql, and powershell, and assist the Principal Systems Engineer with SecOps related duties.

Required Skills:
* 3+ years of experience as a site reliability engineer architect or equivalent professional roles.
* Experience with Docker

Tools and Technologies:
Kubernetes, Helm, Terraform, Bash, SQL, Powershell, Docker, Docker-swarm, Linux, Windows-based

Experience Level:
3+ years of experience as a site reliability engineer architect or equivalent professional roles"
QA Manager,Skills . 5+ Years of experience in Test Automation. Solid understanding of CI/CD Pipelines. Expertise in setting up Automation Suites in CI/CD Environment. Experience developing API automated testing solutions. Strong programming and technical experience in this role will require digging into code and interfacing with developers and delivery managers. Experience managing teams of Automation Engineers. Excellent attention to detail. Good interpersonal communication and organizational skills. Knowledge of Software Development Lifecycle including the functional and non-functional test phases. Knowledge of Quality Management techniques. Intermediate understanding of customer services and business processes. Knowledge of Agile and automation processes. Main Responsibilities . Managing the QA team. Define and validate workload and resource requirements. Creation and maintenance of QA processes and flows tracking and improving their efficiency. Managing the creation execution and maintenance of all test levels System Integration Acceptance Regression and Performance . Manage the creation and maintenance of effective and detailed test plans test cases feature checklists. Handling personal development plans for your subordinates. Participate in the planning of testing strategy for each iteration. Contribute to longer-term estimation and planning activities provide estimations of test efforts. Checking the system for compliance with functional and non-functional requirements. Detecting and tracking platform defects and inconsistencies. Work closely with the development team. A deep understanding of our platforms and applications. Help the support team analyze customer problems and provide detailed information to the development team. As a Plus . Previous experience working as a QA automation engineer. Writing automation scripts and implementing software applications. We propose Salary fixed in USD Social package 24 days per year of paid vacation paid sick leaves European values in relation to employees Informal atmosphere within the team Сorporate events once a quarter Loyal and motivating leadership Working in a multinational environment. About the project The project assumes the development of the online website builder. The application allows customers to create the full-featured website of their own. This solution is designed for a global launch integrated with scalable back-end able to handle a high load of requests from users around the world. With a skilled and passionate team our company is perpetually growing and looking for top talent.,Newfold Digital Ukraine,5y,QA Automation,intermediate,2021-10-01T00:00:00+03:00,en,0c988373-a8d8-50fb-8a77-927249f479d1,125091,"Role Overview:
The QA Manager will lead a team of Automation Engineers, manage all test levels and processes, and oversee the testing strategy for an online website builder project.

Key Responsibilities:
The QA Manager is responsible for managing the QA team, defining workload and resource requirements, and handling personal development plans for subordinates. This role involves creating and maintaining QA processes,

Required Skills:
- 5+ Years of experience in Test Automation.
- Solid understanding of CI/CD Pipelines.
- Expertise in setting up Automation

Tools and Technologies:
- Test Automation
- CI/CD Pipelines
- CI/CD Environment
- Automation Suites
- API automated testing solutions
-

Experience Level:
5+ Years of experience in Test Automation."
